rest_key,rest_coop,reporting_day,daypart_name,daypart_description,daypart_sales,daypart_transaction_qty,Weekday
1364,SEA/TCA WA CP-0024,2011-01-22,REGULAR MENU,10:30AM (11AM weekend) - Close,3288.6,555,Saturday
1364,SEA/TCA WA CP-0024,2011-01-22,TOTAL DAY,All hours,4584.78,790,Saturday
1364,SEA/TCA WA CP-0024,2011-01-23,AFTER 4PM,4PM - Close,1224.3,191,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,AFTERNOON,2PM - 4PM,464.76,75,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,BREAKFAST,Open - 10:30AM (11AM weekend),1062.01,186,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,DINNER,4PM - 9PM,1064.67,166,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,EVENING,9PM - Close,159.63,25,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,LATE NIGHT,11PM - 5AM,0.0,0,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,LUNCH,11AM -  2PM,975.76,148,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,MORNING,Open - 11AM,1062.01,186,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,REGULAR MENU,10:30AM (11AM weekend) - Close,2664.82,414,Sunday
1364,SEA/TCA WA CP-0024,2011-01-23,TOTAL DAY,All hours,3726.83,600,Sunday
1364,SEA/TCA WA CP-0024,2011-01-24,AFTER 4PM,4PM - Close,1447.63,241,Monday
1364,SEA/TCA WA CP-0024,2011-01-24,AFTERNOON,2PM - 4PM,429.25,92,Monday
1364,SEA/TCA WA CP-0024,2011-01-24,BREAKFAST,Open - 10:30AM (11AM weekend),620.11,169,Monday
1364,SEA/TCA WA CP-0024,2011-01-24,DINNER,4PM - 9PM,1259.43,205,Monday
1364,SEA/TCA WA CP-0024,2011-01-24,EVENING,9PM - Close,188.2,36,Monday
1364,SEA/TCA WA CP-0024,2011-01-24,LATE NIGHT,11PM - 5AM,0.0,0,Monday
1364,SEA/TCA WA CP-0024,2011-01-24,LUNCH,11AM -  2PM,999.85,183,Monday
1364,SEA/TCA WA CP-0024,2011-01-24,MORNING,Open - 11AM,670.65,185,Monday
